pool_index,nombre,provincia_id,lat,lng,image_url
0,CABA,1,-34.6144420654301,-58.4458763250916,
1,Balnearia,6,-31.0128513966305,-62.6653740889213,
2,Nahuel Mapá,19,-34.7857388029787,-66.1763305637941,
3,Villa del Dique,6,-32.1763512233751,-64.4569384953227,
4,Paraje 29,21,-29.1082245319843,-60.2392862643997,
5,San Agustín,17,-24.9959615891767,-65.4408140237448,
6,Las Leñas,13,-35.1476106139429,-70.0821307486407,
7,Silva,21,-30.4473008902458,-60.4305625615632,
8,Barrio Sadop - Bella Vista,18,-31.5342147802431,-68.3984742648401,
9,Villa Candelaria,6,-29.8129102449212,-63.3551261194399,
10,San Marcos Sierra,6,-30.7830128979704,-64.6361895651717,
11,Barrio Caleta Córdova,5,-45.7488001218466,-67.378767782759,
12,Erezcano,2,-33.52346278207,-60.3166280184361,
13,El Aguilar,10,-23.2133391780757,-65.6789277733973,
14,Santa María,2,-37.5584052464645,-61.8744494107033,
15,Chauchillas,22,-27.5193593877444,-64.5594338275309,
16,Barrio Alto del Olvido,13,-32.6696505479246,-68.5800012318464,
17,El Algarrobal,13,-32.836885004476,-68.7707577387305,
18,San Antonio Oeste,16,-40.7301325794789,-64.9389710745023,
19,Bovril,8,-31.343579683492,-59.4463897661907,
20,25 de Mayo,11,-37.774908489351,-67.7135403757323,
21,Barrio Ntra. Sra. De Fátima,13,-33.125358284827,-68.347895174128,
22,Aldea Protestante,8,-32.0293027894612,-60.5618081310949,
23,Roberts,2,-35.1429124620256,-61.9704389327608,
24,Julia Dufour,20,-51.5472871481372,-72.2390440680909,
25,Espartillar,2,-37.3611255964229,-62.4338504694523,
26,Curuzú Cuatiá,7,-29.7914512117216,-58.0498588056217,
27,Rodeo de Valdez,22,-27.5501934072337,-64.512494905801,
28,Villa de Trancas,24,-26.2309081628456,-65.2834466386947,
29,Milagro,12,-31.0058165762144,-65.992395165732,
30,Comodoro Rivadavia,5,-45.8625644045819,-67.494000786158,
31,Bayauca,2,-34.8674710803271,-61.2872903832123,
32,Las Acequias,6,-33.2802823361599,-63.9753761495156,
33,Ñorquincó,16,-41.8489280851284,-70.8982152354122,
34,General Ramírez,8,-32.1772681367295,-60.2016467358906,
35,Wenceslao Escalante,6,-33.1716770019156,-62.7694161079015,
36,Llambi Campbell,21,-31.1841834739127,-60.7476804302059,
37,Lafinur,19,-32.0625819746666,-65.3501415424308,
38,Comicó,16,-41.0706957526207,-67.4780683827772,
39,Speluzzi,11,-35.5497080167874,-63.8205097114007,
40,Montecarlo,14,-26.5666537204477,-54.7661267981311,
41,Pueblo General Belgrano,8,-33.0173732799664,-58.475033211034,
42,San Juan de Quillaqués,10,-23.230693154198,-66.3427769201449,
43,El Zampal,13,-33.3990666467458,-69.1057397865026,
44,La Colina,2,-37.3593869063237,-61.5357449066946,
45,Yuchán,22,-27.7808539046501,-62.9752638344764,
46,Puerto Deseado,20,-47.7517194088909,-65.9009487268108,
47,Estación Yeruá,8,-31.471106728684,-58.2633298098291,
48,Villa de Pocho,6,-31.4901575769203,-65.2809505456354,
49,Paso Aguerre,15,-39.338783703078,-69.8435966962213,
50,Villa Ortiz,2,-34.8445367882073,-60.3063011463663,
51,La Invencible,2,-34.2670181288751,-60.3858028206226,
52,Laharrague,14,-26.535391180415,-54.6497388775023,
53,Gorchs,2,-35.672069646017,-58.958410415197,
54,Maciel,21,-32.4568417564494,-60.8924601993888,
55,Atahona,6,-30.9029674267497,-63.7063294940983,
56,Las Lajitas,17,-24.7274016897704,-64.1954659803225,
57,Moquehuá,2,-35.092209149403,-59.7757105008045,
58,Barrio Calle Ciega Nº 10,16,-39.0222796733538,-67.8034178503475,
59,Villa Figueroa,22,-27.7212279278424,-63.5065630634756,
60,Marayes,18,-31.4634402549446,-67.3515068309781,
61,7ma Sección,13,-32.877642821815,-68.8709094556066,
62,Chascomús,2,-35.5742063770635,-58.011281450951,
63,Leandro N. Alem,19,-32.4862569541599,-66.053015683134,
64,Villa Esperanza,2,-33.4213834087717,-60.2603632967081,
65,Ramón M. Castro,15,-38.8643297107263,-69.7446960918835,
66,Alcaraz,8,-31.4573653455777,-59.5985723120056,
67,Pueblo Comechingones,6,-31.1714887271348,-63.6053259903679,
68,Nuestra Señora de Talavera,17,-25.4589914825356,-63.7797579155682,
69,San Ignacio,14,-27.2586133303264,-55.5389747941103,
70,Ojeda,11,-35.3069414204845,-64.0060798931943,
71,Zenón Videla Dorna,2,-35.5420844897832,-58.8864507537748,
72,Arroyo San Antonio,6,-32.2562251197951,-64.6077980473932,
73,José Juan Almeyra,2,-34.9215851673876,-59.542229637721,
74,Roversi,22,-27.592326630772,-61.9437296789356,
75,Cinco Saltos,16,-38.8248893488532,-68.0617688136538,
76,Talaini,6,-31.249850218493,-65.1692870783873,
77,El Resguardo,13,-32.8303390304647,-68.8209663176292,
78,Barrio Guerrico,16,-39.0173211191915,-67.7184353319822,
79,Tabossi,8,-31.8016595891036,-59.935952939523,
80,Barrio Laprida,5,-45.8283932353205,-67.5426438874095,
81,Sunchales,21,-30.945077034013,-61.5606621388413,
82,General Lucio V. Mansilla,9,-26.6576895087904,-58.6304602621182,
83,Pomona,16,-39.4870461345692,-65.6107963481982,
84,Villa Mascardi,16,-41.349553642129,-71.5090416296635,
85,Herradura,9,-26.4898478096851,-58.311618190832,
86,Villa Catedral,16,-41.1676214987138,-71.4402137272645,
87,Teodelina,21,-34.1895733079562,-61.5265215961979,
88,Las Tinajas,22,-27.4657166524371,-62.9179656623378,
89,Polco,12,-30.4054215485116,-66.3679936936504,
90,General Cabrera,6,-32.8145729537056,-63.8749572232084,
91,Álvarez de Toledo,2,-35.6393730456478,-59.6311412076099,
92,Pismanta,18,-30.2802254035094,-69.2279466704071,
93,Viedma,16,-40.8083677299022,-62.9949287297467,
94,Estación Saguier,21,-31.316273169572,-61.6962090269134,
95,Carrodilla,13,-32.9674232624478,-68.8516196087317,
96,Las Rosas,21,-32.4750508722115,-61.5765081663526,
97,Chavarría,7,-28.9552557117496,-58.5717674623871,
98,Puesto de San Antonio,22,-27.6630844208093,-64.3785938772565,
99,La Central,13,-33.2731667432222,-68.3153119980095,
100,El Sauzal,4,-24.578514059593,-61.5349548136704,
101,Villa Eloísa,21,-32.9638882646234,-61.5510135195736,
102,Ingeniero Barbet,4,-27.002424705928,-59.4826230875459,
103,San José,13,-33.3082825254093,-69.1528988847786,
104,Olacapato,17,-24.1374864316847,-66.7188264152385,
105,Ingeniero Otto Krause,16,-39.1072352864144,-66.9981167180275,
106,Aldao,21,-30.9805768820895,-61.7432530327355,
107,Colonia Italiana,6,-33.3117017575472,-62.176462774246,
108,General Daniel Cerri,2,-38.7193655455279,-62.3953089757156,
109,Reducción de Abajo,13,-33.2216139210305,-68.5574841362076,
110,Vista Alegre Sur,15,-38.7730298028857,-68.135492123563,
111,Centro Guerrero,2,-36.055467874484,-57.8210962168972,
112,El Colorado,8,-32.1819731193292,-58.1946826986345,
113,Conlara,6,-32.0773534684113,-65.2294604480298,
114,La Trinidad,24,-27.4142855671272,-65.5167750952965,
115,Los Quirquinchos,21,-33.3748594819552,-61.7104920093924,
116,Villa Amancay,6,-32.1861840457394,-64.5673892136594,
117,Barrio María Elvira,16,-38.9916083100859,-67.9647603580476,
118,Diego de Alvear,21,-34.372650342893,-62.128215946094,
119,Faro,2,-38.7965246047502,-61.0703877087327,
120,General Alvear,8,-31.9455148849987,-60.680121897539,
121,Ampascachi,17,-25.3526532165204,-65.5282293039128,
122,Candioti,21,-31.4013903523262,-60.748981610734,
123,Lazzarino,21,-34.1654637732041,-62.4281209086302,
124,Arroyo del Medio,14,-27.6982566288122,-55.4048641020127,
125,Inriville,6,-32.945647467009,-62.2307908603693,
126,Warnes,2,-34.9101336709228,-60.5389528273212,
127,Villa Quillinzo,6,-32.2365474320847,-64.5136041058573,
128,Las Talas,12,-28.4417989310154,-67.119230714955,
129,Liviara,10,-22.5210652304427,-66.3376830601011,
130,Monte del Rosario,6,-30.9822672144269,-63.6018303746432,
131,El Cóndor,16,-41.0412857501304,-62.829010313718,
132,Emilio V. Bunge,2,-34.7835139287208,-63.1956538141881,
133,Colonia Belgrano,21,-31.9094510313995,-61.4009185852123,
134,Casalins,2,-36.3163608052112,-58.5514293687728,
135,Dufaur,2,-37.9428114794239,-62.2830886448847,
136,Nicolás Bruzzone,6,-34.4404202357062,-64.3416413140051,
137,Las Lagunas,19,-32.6280580772529,-65.5485981279346,
138,Quines,19,-32.2328558717756,-65.8050366858062,
139,Ocloyas,10,-23.9441100407681,-65.2317019309515,
140,Kilómetro 658,6,-31.3688486221668,-63.530628418199,
141,Colonia 10 de Julio,6,-30.5252374883065,-62.1124344158168,
142,Mallín Ahogado,16,-41.8396332751023,-71.504412388147,
143,Canals,6,-33.5621726336415,-62.8850856145061,
144,Alto Verde,24,-27.3776265089749,-65.6081216579867,
145,General Campos,8,-31.5233761986049,-58.4058045394824,
146,La Florida,24,-26.8188845586951,-65.0936153061334,
147,Infanzón,3,-28.579033524573,-65.4050006254354,
148,Santo Domingo,22,-26.2163641126823,-63.7774962793826,
149,Las Flores,18,-30.3224851594708,-69.2043008133451,
150,Barrio La Costa,16,-39.0922864206975,-67.2033567124145,
151,Caseros,8,-32.4621188922836,-58.4793213231488,
152,Goudge,13,-34.6800298339323,-68.1317373135165,
153,Colonia Raquel,21,-30.8368344282322,-61.488042997533,
154,El Rincón,22,-26.7236441164626,-64.4455918317201,
155,Hale,2,-36.0020643354201,-60.855489814834,
156,Las Peñas,6,-30.5639628575725,-64.0002665759206,
157,Desvío Arijón,21,-31.8705513326584,-60.8892460452894,
158,Chucul,6,-33.0093371221871,-64.1699747861705,
159,Nueva California,13,-32.7495188169017,-68.3241242048459,
160,Vista Alegre Norte,15,-38.7341830659577,-68.1728230299109,
161,Mojón Grande,14,-27.7120413813374,-55.1574339761207,
162,Coronel Manuel L. Rico,22,-26.3857413100398,-61.8122844844299,
163,Alvear,7,-29.09883935098,-56.5534358403365,
164,Colonia Iturraspe,6,-31.2078362692456,-62.1103101028249,
165,El Empalme,16,-40.7115608505761,-65.0037252454271,
166,Chicoana,17,-25.1026672894015,-65.5350470071057,
167,Plottier,15,-38.9523548715081,-68.2271473892684,
168,Del Valle,2,-35.8998918047927,-60.7302753701018,
169,Saforcada,2,-34.5728278659011,-61.074208603857,
170,Sarmiento,5,-45.5868679096809,-69.0689409610272,
171,Ulapes,12,-31.5727465596669,-66.237533257096,
172,Monte Vera,21,-31.5168015662579,-60.6786765037235,
173,Mar de Ajó Norte,2,-36.717111900525,-56.6770670772511,
174,La Consulta,13,-33.733847173131,-69.1198852597666,
175,Villa Alsina,2,-33.9076609182152,-59.3906490653271,
176,Tinoco,6,-31.1245074978079,-63.8917952670958,
177,Colonia Carlos Pellegrini,7,-28.5372356876725,-57.1713500894698,
178,Sarasa,2,-34.0480939107829,-61.2017243473526,
179,Lago Epuyén,5,-42.2168904344569,-71.4296708918742,
180,Gobernador Gregores,20,-48.7508973372058,-70.2485196596237,
181,Juan A. Pradere,2,-39.6024515767254,-62.6527946396309,
182,Parada Acuña,7,-29.9088415707249,-57.9588655544584,
183,Enrique Carbó,8,-33.1454610724344,-59.20805582252,
184,Pujato,21,-33.0176482197441,-61.0430535409981,
185,Las Toninas,2,-36.4883405821009,-56.7049719429497,
186,San Pedro Norte,6,-30.0910815199101,-64.1549271383854,
187,Barrio Intendencia,13,-34.6468691024787,-68.2649912036625,
188,Arrecifes,2,-34.0675149078578,-60.1086915850167,
189,El Turbio,20,-51.68091861252,-72.0884962680537,
190,Tafí del Valle,24,-26.8519448937972,-65.71069016081,
191,Pirovano,2,-36.5101574870878,-61.5555189951424,
192,Vinará,22,-27.3788994514735,-64.7946018412599,
193,La Gloria,11,-36.5083841391324,-63.7431085297245,
194,Barrio Santa Teresita,17,-25.0371194213985,-65.5721625852223,
195,Hernando,6,-32.4278813952385,-63.7334711036897,
196,Girodias,2,-36.3657483912208,-62.3580799980758,
197,Washington,6,-33.8737376102712,-64.6895940042447,
198,Urundel,17,-23.5578641799717,-64.3969298334448,
199,Loventué,11,-36.1888953927316,-65.289332461436,
200,Villa Ojo de Agua,22,-29.5028073843862,-63.6949683700925,
201,San Clemente del Tuyú,2,-36.3541931252553,-56.7256793076295,
202,Garabato,21,-28.9544900875832,-60.1350767620573,
203,Villa Flor Serrana,6,-31.3905452515201,-64.5956887243474,
204,Colpes,3,-28.0586376131505,-66.1976605707736,
205,Concepción,7,-28.3932008623293,-57.8869168616331,
206,Tres de Febrero,1,-34.5960620390683,-58.5791687873004,
207,El Médano,18,-30.1270144537509,-68.6814403274428,
208,Banderaló,2,-35.0148684045152,-63.3759618191184,
209,Tolloche,17,-25.5257008337302,-63.5243197183811,
210,Villa Gutiérrez,6,-30.6792055355653,-64.1601540603629,
211,Colonia Dolores,21,-30.382384557723,-60.3304860707389,
212,La Trinidad,2,-34.1070008226694,-61.1327498008198,
213,Jardín América,14,-27.0431587896035,-55.2270180224147,
214,Barrio Santa Rita,16,-39.126374176646,-67.1027376582618,
215,Barrio Los Olivos,13,-32.679323003314,-68.3318687823886,
216,Centro 25 de Junio,17,-24.9572985161978,-63.8546440512315,
217,Monterrico,10,-24.4429604452463,-65.1660933144522,
218,Ochandío,2,-38.3592119302894,-59.7932721394937,
219,Rawson,18,-31.569169129647,-68.5417501769497,
220,Villa El Tango,18,-31.7492563033392,-68.2360865403218,
221,Coronel Hilario Lagos,11,-35.0241215550401,-63.9120713203455,
222,Inés Indart,2,-34.3962925470533,-60.5368496522854,
223,Gaona,17,-25.2414908191714,-64.0372176659907,
224,Tancacha,6,-32.2375848129104,-63.9798657745832,
225,Aminga,12,-28.8477653028629,-66.9304965980319,
226,Manantiales,10,-24.5343091599977,-64.9769025134671,
227,Fitz Roy,20,-47.0263477886883,-67.2473968411481,
228,Las Palmas,4,-27.048750965144,-58.6823960236933,
229,Barrio Saavedra,5,-45.8415111049113,-67.5064244994082,
230,Nueva Lehmann,21,-31.118904985754,-61.515198965269,
231,Villa Basilio Nievas,18,-31.5484646475955,-68.7293719829141,
232,Capitán Bermúdez,21,-32.8264562379917,-60.7161557546827,
233,La Maruja,11,-35.673878960176,-64.942139647443,
234,Simoca,24,-27.262904015139,-65.3579173017904,
235,Los Puestos,24,-27.2818366538138,-65.0194383331167,
236,Tres Cruces,10,-22.918210554407,-65.5875851905061,
237,Villa Dolores,6,-31.9449767629495,-65.1902396962461,
238,Trebolares,11,-35.5844688283462,-63.5890778943806,
239,Santiago de Liniers,14,-26.4011899197027,-54.415647354223,
240,Kilómetro 11 - Cuarteles,5,-45.7694264717128,-67.4358568293595,
241,Colonia Videla,6,-31.917276973402,-63.5035080788882,
242,América,2,-35.4891640479858,-62.9758916831348,
243,San Jerónimo,19,-33.1380492927944,-66.5240256343146,
244,General Galarza,8,-32.7204846633082,-59.3957065604885,
245,Nelson,21,-31.2658325064826,-60.7644507999057,
246,La Población,6,-32.0662526110844,-65.0296172538922,
247,Copahue,15,-37.8188587997186,-71.0987785990263,
248,Cienaguita,18,-32.0771610846943,-68.693531008472,
249,La Llave Nueva,13,-34.6391381138348,-68.0099058579305,
250,El Trigo,2,-35.8802756225975,-59.4060705269642,
251,Loteo Costa de Río,16,-40.8698040115554,-62.920389148668,
252,Paso de Indios,5,-43.8643860057353,-69.0465861742933,
253,Santa Florentina,12,-29.1293216721004,-67.5561365983596,
254,Mosmota,19,-33.6711785917479,-66.9720138521536,
255,Agustín Roca,2,-34.5072540354127,-60.86489881645,
256,Aldea Salto,8,-31.9248332176685,-60.5473518905461,
257,Los Campamentos,13,-33.2754932315601,-68.3925795256069,
258,Barranca Larga,3,-26.9828636014962,-66.7390636195755,
259,La Matanza,1,-34.7702975343898,-58.6253776153662,
260,El Alamito,3,-27.494568045547,-66.022448759223,
261,Olavarría,2,-36.8938423224315,-60.3231937143701,
262,Salinas del Bebedero,19,-33.5013818949778,-66.65145868425,
263,Ingenio San Pablo,24,-26.8699922127003,-65.310892532054,
264,Los Alisos,10,-24.2685736314687,-65.3002956637024,
265,Paulina,10,-23.845065447003,-64.740544449243,
266,San Pedro de Toyos,6,-30.4542122342579,-64.4448949849585,
267,Barrio Moño Azul,16,-39.1358482496252,-66.8947969646409,
268,Colonia Vignaud,6,-30.8414191623266,-61.9566136513492,
269,Rodero,10,-23.0623666894842,-65.3265514635211,
270,Bella Vista,7,-28.5076832122621,-59.0452172890593,
271,Lobos,2,-35.1854255468713,-59.0978341614036,
272,Villa Zorraquín,8,-31.3218570608507,-58.0144861434651,
273,Alto Pencoso,19,-33.4329324778772,-66.9259429398373,
274,Villa San Marcial (Est. Gobernador Urquiza),8,-32.1800689137102,-58.9285380838471,
275,Barrio Costa Oeste,16,-39.0280740237134,-67.8406950461602,
276,El Quimilo,3,-29.8993520757253,-65.3979048133024,
277,Fontana,4,-27.4202374033126,-59.0373912551351,
278,Corral Quemado,3,-27.1448010677264,-66.9447586037509,
279,Caimancito,10,-23.7399374747541,-64.5916005257069,
280,Comandante Luis Piedrabuena,20,-49.985576992417,-68.9092992971819,
281,Irineo Portela,2,-33.9798303828433,-59.6701217083133,
282,Ernestina,2,-35.268920909582,-59.5571323199126,
283,Coronel Pringles,2,-37.9856677754422,-61.3503974314576,
284,Santa Ana,7,-27.4553549984351,-58.6547603461789,
285,La Batea,6,-30.3722741905701,-65.3081506835707,
286,La Punta,19,-33.1836751359859,-66.3124809489235,
287,Las Petacas,21,-31.8211859275252,-62.1104993813252,
288,Villa Campi,2,-33.360724726341,-60.300046996968,
289,Huáncar,10,-23.564098730782,-66.409950175363,
290,Santurce,21,-30.1865677486846,-61.1810772669898,
291,Abra Pampa,10,-22.7226922709668,-65.6970391781325,
292,Toay,11,-36.673898048391,-64.3797897154644,
293,San Andrés de Giles,2,-34.4423774190107,-59.4475191783366,
294,Desiderio Tello,12,-31.2124968486754,-66.3144307396543,
295,Aldea Spatzenkutter,8,-31.9461790345738,-60.5808627344469,
296,Uriburu,11,-36.5063202439509,-63.8601089739274,
297,Jocolí,13,-32.5812141318551,-68.6651447010916,
298,Las Cejas,24,-26.8884091159514,-64.7411258905347,
299,Isla del Cerrito,4,-27.2914991170767,-58.6194294875231,
300,Bermejo,13,-32.8673131267475,-68.779539700913,
301,Colonia Bicha,21,-30.8541295519254,-61.8495354585601,
302,Estación General Obligado,4,-27.4116262609828,-59.4193459037811,
303,Las Guachas,8,-32.4702188089563,-59.1729259161367,
304,Medanitos,3,-26.7507779940066,-66.0787233659467,
305,Sampacho,6,-33.3840227581931,-64.722878268168,
306,Puerto Pinares,14,-26.4273389693379,-54.6829642579317,
307,Chasicó,2,-38.3373320283001,-62.6445852070943,
308,Pampa Landriel,4,-27.3946839706567,-61.1025627085806,
309,Esquiú,3,-29.3788610113225,-65.2902628195316,
310,Tosquitas,6,-33.8196836254827,-64.4576700736724,
311,Costasacate,6,-31.6453192327198,-63.7588686595111,
312,Olaroz Chico,10,-23.3936701449168,-66.8030922078707,
313,Villa María,6,-32.4135041930881,-63.248329032642,
314,Villa Fontana,8,-31.9053433169782,-60.4736941547727,
315,Tilcara,10,-23.5768951588348,-65.3933729257421,
316,Valcheta,16,-40.6763517072528,-66.1665170291686,
317,El Sombrero,7,-27.7035428215827,-58.7686059898584,
318,Roosevelt,2,-35.8468999842255,-63.2909563505954,
319,Berna,21,-29.2726680150419,-59.8453110954468,
320,Los Overos,19,-35.8774779166824,-66.4531758468904,
321,Tres Lagos,20,-49.5979102036138,-71.4467467899851,
322,Febré,8,-32.475267674938,-59.9189010779794,
323,Sarah,11,-35.0280789306098,-63.6859330160218,
324,Bella Vista,24,-27.0327919289339,-65.3070898626718,
325,Yacoraite,10,-23.3878061932966,-65.3446878040781,
326,San Isidro,10,-24.5560811977564,-64.9420666962449,
327,Ciudad de Las Heras,13,-32.8509435777421,-68.836014945095,
328,Maquinchao,16,-41.2502258739988,-68.6982547651825,
